maxHum
79
73.8
63.7
64.2
64.4
63.4
68.8
73
84
84
80.7
82.7
80.6
74
77.1
73.2
70.5
84.4
78.8
79.2
82.9
80.9
73.9
81.1
81.2
88.7
86.8
83.1
81.5
87.6
91.2
81.4
77.6
75.7
69.5
71.8
74.1
72.3
77.1
85.4
88.6
90.1
89.5
86.8
91.7
89.8
85.1
76.9
73.2
81.2
85.9
86.4
77.8
72.5
71.6
68.3
69.7
85.6
85.2
84.4
85.7
85.1
84.8
86.6
79.7
85.3
74.9
70.1
80.6
82.9
83.5
87.4
88.1
85
82
74.7
71.5
70.4
79.5
79.6
78
74.7
74.9
78.5
79.6
80.8
79.2
82.6
85.1
85.8
